product,animal,time_of_day,storage,days_since,density,fat,snf,size,condition,type,purity,moisture,name,ripeness,color,quantity,freshness,grade
vegetables,,,refrigerated,4,0.0,0.0,0.0,large,,,,,zucchini,hard,green,23.0,60.0,B
honey,,,refrigerated,34,0.0,0.0,0.0,,,dark,80,20,,,,96.6,,C
eggs,,,room,9,0.0,0.0,0.0,medium,dirty,,,,,,,37.0,,C
milk,cow,morning,refrigerated,7,1.03,3.5,8.5,,,,,,,,,0.0,,C
milk,cow,morning,room,3,1.03,3.5,8.5,,,,,,,,,55.0,,C
eggs,,,refrigerated,4,0.0,0.0,0.0,large,dirty,,,,,,,72.0,,C
milk,goat,morning,room,2,1.032,4.5,8.0,,,,,,,,,70.0,,C
milk,goat,evening,refrigerated,7,1.032,4.5,8.0,,,,,,,,,0.0,,C
eggs,,,refrigerated,14,0.0,0.0,0.0,medium,dirty,,,,,,,2.0,,C
fruits,,,refrigerated,5,0.0,0.0,0.0,medium,,,,,blueberry,medium,green,30.0,50.0,B
fruits,,,room,5,0.0,0.0,0.0,small,,,,,banana,medium,yellow,22.0,50.0,B
vegetables,,,room,4,0.0,0.0,0.0,medium,,,,,cucumber,soft,yellow,49.0,60.0,B
milk,cow,evening,room,3,1.03,3.5,8.5,,,,,,,,,55.0,,C
honey,,,refrigerated,212,0.0,0.0,0.0,,,dark,80,20,,,,78.8,,C
eggs,,,refrigerated,13,0.0,0.0,0.0,small,clean,,,,,,,9.0,,C
fruits,,,refrigerated,5,0.0,0.0,0.0,large,,,,,papaya,medium,red,32.0,50.0,B
eggs,,,room,11,0.0,0.0,0.0,large,dirty,,,,,,,23.0,,C
eggs,,,room,6,0.0,0.0,0.0,large,dirty,,,,,,,58.0,,C
honey,,,room,314,0.0,0.0,0.0,,,dark,80,20,,,,68.6,,C
milk,buffalo,evening,refrigerated,1,1.04,6.5,9.0,,,,,,,,,85.0,,C
fruits,,,room,2,0.0,0.0,0.0,medium,,,,,blueberry,soft,green,10.0,80.0,A
eggs,,,room,2,0.0,0.0,0.0,large,clean,,,,,,,86.0,,C
honey,,,room,229,0.0,0.0,0.0,,,light,85,17,,,,77.1,,C
honey,,,refrigerated,282,0.0,0.0,0.0,,,light,85,17,,,,71.8,,C
honey,,,room,171,0.0,0.0,0.0,,,light,85,17,,,,82.9,,C
fruits,,,refrigerated,3,0.0,0.0,0.0,medium,,,,,papaya,soft,green,2.0,70.0,B
vegetables,,,room,3,0.0,0.0,0.0,medium,,,,,broccoli,hard,yellow,43.0,70.0,B
milk,goat,evening,refrigerated,2,1.032,4.5,8.0,,,,,,,,,70.0,,C
eggs,,,refrigerated,9,0.0,0.0,0.0,medium,clean,,,,,,,37.0,,C
fruits,,,refrigerated,6,0.0,0.0,0.0,medium,,,,,blueberry,soft,yellow,23.0,40.0,C
milk,cow,evening,room,3,1.03,3.5,8.5,,,,,,,,,55.0,,C
honey,,,room,353,0.0,0.0,0.0,,,light,85,17,,,,64.69999999999999,,C
fruits,,,room,0,0.0,0.0,0.0,medium,,,,,blueberry,hard,red,12.0,100.0,A
vegetables,,,room,0,0.0,0.0,0.0,large,,,,,zucchini,hard,green,29.0,100.0,A
eggs,,,refrigerated,8,0.0,0.0,0.0,large,clean,,,,,,,44.0,,C
milk,cow,evening,refrigerated,5,1.03,3.5,8.5,,,,,,,,,25.0,,C
vegetables,,,refrigerated,0,0.0,0.0,0.0,medium,,,,,lettuce,hard,yellow,16.0,100.0,A
vegetables,,,refrigerated,3,0.0,0.0,0.0,medium,,,,,chilli,medium,red,25.0,70.0,B
milk,buffalo,evening,room,6,1.04,6.5,9.0,,,,,,,,,10.0,,C
honey,,,refrigerated,251,0.0,0.0,0.0,,,light,85,17,,,,74.9,,C
vegetables,,,refrigerated,0,0.0,0.0,0.0,large,,,,,broccoli,hard,yellow,45.0,100.0,A
eggs,,,refrigerated,5,0.0,0.0,0.0,small,dirty,,,,,,,65.0,,C
eggs,,,room,8,0.0,0.0,0.0,large,dirty,,,,,,,44.0,,C
eggs,,,refrigerated,0,0.0,0.0,0.0,medium,dirty,,,,,,,100.0,,C
vegetables,,,room,6,0.0,0.0,0.0,medium,,,,,onion,soft,green,38.0,40.0,C
eggs,,,refrigerated,7,0.0,0.0,0.0,large,clean,,,,,,,51.0,,C
honey,,,room,47,0.0,0.0,0.0,,,light,85,17,,,,95.3,,C
fruits,,,room,0,0.0,0.0,0.0,small,,,,,banana,hard,green,15.0,100.0,A
vegetables,,,room,6,0.0,0.0,0.0,large,,,,,potato,medium,red,20.0,40.0,C
milk,buffalo,evening,refrigerated,3,1.04,6.5,9.0,,,,,,,,,55.0,,C
fruits,,,room,5,0.0,0.0,0.0,large,,,,,blueberry,medium,green,31.0,50.0,B
honey,,,refrigerated,11,0.0,0.0,0.0,,,dark,80,20,,,,98.9,,C
vegetables,,,refrigerated,6,0.0,0.0,0.0,medium,,,,,chilli,medium,green,30.0,40.0,C
vegetables,,,refrigerated,3,0.0,0.0,0.0,large,,,,,carrot,medium,red,48.0,70.0,B
milk,buffalo,evening,refrigerated,7,1.04,6.5,9.0,,,,,,,,,0.0,,C
fruits,,,room,2,0.0,0.0,0.0,small,,,,,apple,medium,red,38.0,80.0,A
vegetables,,,refrigerated,4,0.0,0.0,0.0,small,,,,,cauliflower,medium,green,22.0,60.0,B
honey,,,refrigerated,358,0.0,0.0,0.0,,,dark,80,20,,,,64.19999999999999,,C
vegetables,,,refrigerated,4,0.0,0.0,0.0,medium,,,,,cauliflower,soft,red,19.0,60.0,B
fruits,,,refrigerated,7,0.0,0.0,0.0,small,,,,,strawberry,hard,red,41.0,30.0,C
eggs,,,refrigerated,8,0.0,0.0,0.0,small,dirty,,,,,,,44.0,,C
milk,buffalo,morning,refrigerated,5,1.04,6.5,9.0,,,,,,,,,25.0,,C
vegetables,,,refrigerated,7,0.0,0.0,0.0,small,,,,,radish,hard,yellow,18.0,30.0,C
fruits,,,refrigerated,3,0.0,0.0,0.0,large,,,,,pineapple,soft,green,2.0,70.0,B
vegetables,,,room,3,0.0,0.0,0.0,small,,,,,cauliflower,soft,yellow,5.0,70.0,B
milk,goat,evening,refrigerated,3,1.032,4.5,8.0,,,,,,,,,55.0,,C
vegetables,,,room,0,0.0,0.0,0.0,medium,,,,,onion,hard,green,38.0,100.0,A
milk,goat,morning,refrigerated,6,1.032,4.5,8.0,,,,,,,,,10.0,,C
honey,,,room,358,0.0,0.0,0.0,,,light,85,17,,,,64.19999999999999,,C
fruits,,,refrigerated,6,0.0,0.0,0.0,medium,,,,,papaya,medium,red,5.0,40.0,C
honey,,,refrigerated,31,0.0,0.0,0.0,,,light,85,17,,,,96.9,,C
milk,goat,evening,room,2,1.032,4.5,8.0,,,,,,,,,70.0,,C
honey,,,room,109,0.0,0.0,0.0,,,dark,80,20,,,,89.1,,C
milk,goat,evening,refrigerated,3,1.032,4.5,8.0,,,,,,,,,55.0,,C
milk,goat,evening,refrigerated,3,1.032,4.5,8.0,,,,,,,,,55.0,,C
milk,buffalo,evening,refrigerated,3,1.04,6.5,9.0,,,,,,,,,55.0,,C
honey,,,refrigerated,322,0.0,0.0,0.0,,,dark,80,20,,,,67.8,,C
fruits,,,room,1,0.0,0.0,0.0,small,,,,,papaya,medium,yellow,25.0,90.0,A
vegetables,,,room,5,0.0,0.0,0.0,large,,,,,tomato,soft,yellow,25.0,50.0,B
eggs,,,room,7,0.0,0.0,0.0,small,dirty,,,,,,,51.0,,C
eggs,,,refrigerated,1,0.0,0.0,0.0,large,clean,,,,,,,93.0,,C
vegetables,,,room,1,0.0,0.0,0.0,medium,,,,,beetroot,soft,yellow,18.0,90.0,A
eggs,,,room,2,0.0,0.0,0.0,small,dirty,,,,,,,86.0,,C
honey,,,room,153,0.0,0.0,0.0,,,dark,80,20,,,,84.7,,C
honey,,,refrigerated,63,0.0,0.0,0.0,,,dark,80,20,,,,93.7,,C
fruits,,,refrigerated,3,0.0,0.0,0.0,small,,,,,pear,hard,green,11.0,70.0,B
milk,buffalo,morning,refrigerated,4,1.04,6.5,9.0,,,,,,,,,40.0,,C
milk,goat,evening,room,7,1.032,4.5,8.0,,,,,,,,,0.0,,C
milk,goat,morning,room,1,1.032,4.5,8.0,,,,,,,,,85.0,,C
vegetables,,,refrigerated,7,0.0,0.0,0.0,medium,,,,,cucumber,soft,yellow,9.0,30.0,C
honey,,,room,345,0.0,0.0,0.0,,,light,85,17,,,,65.5,,C
vegetables,,,room,7,0.0,0.0,0.0,medium,,,,,cabbage,soft,green,2.0,30.0,C
milk,cow,evening,refrigerated,2,1.03,3.5,8.5,,,,,,,,,70.0,,C
honey,,,room,86,0.0,0.0,0.0,,,light,85,17,,,,91.4,,C
milk,buffalo,evening,room,0,1.04,6.5,9.0,,,,,,,,,100.0,,C
milk,goat,morning,refrigerated,3,1.032,4.5,8.0,,,,,,,,,55.0,,C
milk,goat,morning,room,3,1.032,4.5,8.0,,,,,,,,,55.0,,C
milk,cow,evening,refrigerated,4,1.03,3.5,8.5,,,,,,,,,40.0,,C
eggs,,,room,7,0.0,0.0,0.0,medium,dirty,,,,,,,51.0,,C
eggs,,,room,10,0.0,0.0,0.0,large,dirty,,,,,,,30.0,,C
eggs,,,refrigerated,3,0.0,0.0,0.0,medium,dirty,,,,,,,79.0,,C
fruits,,,refrigerated,6,0.0,0.0,0.0,large,,,,,strawberry,soft,yellow,39.0,40.0,C
eggs,,,refrigerated,2,0.0,0.0,0.0,medium,clean,,,,,,,86.0,,C
vegetables,,,room,6,0.0,0.0,0.0,medium,,,,,chilli,medium,green,9.0,40.0,C
fruits,,,refrigerated,0,0.0,0.0,0.0,medium,,,,,orange,hard,red,11.0,100.0,A
eggs,,,room,1,0.0,0.0,0.0,large,clean,,,,,,,93.0,,C
eggs,,,refrigerated,8,0.0,0.0,0.0,medium,dirty,,,,,,,44.0,,C
vegetables,,,room,3,0.0,0.0,0.0,medium,,,,,carrot,soft,yellow,30.0,70.0,B
honey,,,room,9,0.0,0.0,0.0,,,dark,80,20,,,,99.1,,C
fruits,,,refrigerated,4,0.0,0.0,0.0,medium,,,,,strawberry,soft,yellow,23.0,60.0,B
milk,cow,evening,refrigerated,2,1.03,3.5,8.5,,,,,,,,,70.0,,C
vegetables,,,room,7,0.0,0.0,0.0,small,,,,,chilli,soft,yellow,34.0,30.0,C
honey,,,refrigerated,241,0.0,0.0,0.0,,,dark,80,20,,,,75.9,,C
honey,,,room,204,0.0,0.0,0.0,,,dark,80,20,,,,79.6,,C
fruits,,,room,0,0.0,0.0,0.0,medium,,,,,watermelon,medium,yellow,19.0,100.0,A
vegetables,,,room,1,0.0,0.0,0.0,medium,,,,,beetroot,soft,red,39.0,90.0,A
fruits,,,refrigerated,7,0.0,0.0,0.0,large,,,,,guava,medium,yellow,21.0,30.0,C
eggs,,,refrigerated,11,0.0,0.0,0.0,large,dirty,,,,,,,23.0,,C
fruits,,,room,0,0.0,0.0,0.0,medium,,,,,mango,medium,red,6.0,100.0,A
vegetables,,,refrigerated,0,0.0,0.0,0.0,large,,,,,chilli,soft,red,42.0,100.0,A
honey,,,refrigerated,106,0.0,0.0,0.0,,,light,85,17,,,,89.4,,C
vegetables,,,room,4,0.0,0.0,0.0,small,,,,,cucumber,soft,green,34.0,60.0,B
milk,cow,morning,refrigerated,2,1.03,3.5,8.5,,,,,,,,,70.0,,C
eggs,,,refrigerated,8,0.0,0.0,0.0,medium,dirty,,,,,,,44.0,,C
fruits,,,room,0,0.0,0.0,0.0,large,,,,,grapes,hard,green,18.0,100.0,A
fruits,,,refrigerated,2,0.0,0.0,0.0,small,,,,,orange,medium,green,14.0,80.0,A
milk,cow,morning,refrigerated,4,1.03,3.5,8.5,,,,,,,,,40.0,,C
vegetables,,,refrigerated,2,0.0,0.0,0.0,medium,,,,,pepper,hard,red,16.0,80.0,A
fruits,,,room,6,0.0,0.0,0.0,large,,,,,kiwi,soft,red,2.0,40.0,C
milk,cow,morning,refrigerated,0,1.03,3.5,8.5,,,,,,,,,100.0,,C
eggs,,,room,14,0.0,0.0,0.0,large,clean,,,,,,,2.0,,C
fruits,,,room,2,0.0,0.0,0.0,medium,,,,,pear,hard,green,17.0,80.0,A
vegetables,,,room,1,0.0,0.0,0.0,small,,,,,cucumber,hard,green,19.0,90.0,A
milk,goat,evening,refrigerated,6,1.032,4.5,8.0,,,,,,,,,10.0,,C
eggs,,,room,7,0.0,0.0,0.0,large,dirty,,,,,,,51.0,,C
fruits,,,refrigerated,6,0.0,0.0,0.0,large,,,,,pineapple,medium,yellow,43.0,40.0,C
fruits,,,room,7,0.0,0.0,0.0,large,,,,,papaya,hard,red,30.0,30.0,C
vegetables,,,room,6,0.0,0.0,0.0,medium,,,,,beetroot,hard,yellow,41.0,40.0,C
milk,goat,evening,refrigerated,1,1.032,4.5,8.0,,,,,,,,,85.0,,C
vegetables,,,room,3,0.0,0.0,0.0,medium,,,,,cucumber,soft,green,26.0,70.0,B
vegetables,,,refrigerated,0,0.0,0.0,0.0,small,,,,,onion,soft,red,49.0,100.0,A
vegetables,,,refrigerated,6,0.0,0.0,0.0,medium,,,,,beetroot,hard,yellow,41.0,40.0,C
milk,buffalo,morning,room,1,1.04,6.5,9.0,,,,,,,,,85.0,,C
vegetables,,,refrigerated,2,0.0,0.0,0.0,large,,,,,potato,soft,yellow,34.0,80.0,A
fruits,,,room,0,0.0,0.0,0.0,large,,,,,apple,medium,red,41.0,100.0,A
honey,,,refrigerated,127,0.0,0.0,0.0,,,dark,80,20,,,,87.3,,C
fruits,,,room,6,0.0,0.0,0.0,small,,,,,pineapple,hard,yellow,24.0,40.0,C
eggs,,,refrigerated,5,0.0,0.0,0.0,large,clean,,,,,,,65.0,,C
milk,goat,morning,refrigerated,0,1.032,4.5,8.0,,,,,,,,,100.0,,C
fruits,,,refrigerated,6,0.0,0.0,0.0,large,,,,,guava,hard,green,42.0,40.0,C
honey,,,room,235,0.0,0.0,0.0,,,dark,80,20,,,,76.5,,C
fruits,,,room,3,0.0,0.0,0.0,small,,,,,banana,hard,red,49.0,70.0,B
milk,buffalo,evening,room,6,1.04,6.5,9.0,,,,,,,,,10.0,,C
fruits,,,room,2,0.0,0.0,0.0,large,,,,,watermelon,soft,red,37.0,80.0,A
fruits,,,refrigerated,3,0.0,0.0,0.0,large,,,,,banana,hard,yellow,50.0,70.0,B
eggs,,,refrigerated,1,0.0,0.0,0.0,small,dirty,,,,,,,93.0,,C
honey,,,room,206,0.0,0.0,0.0,,,light,85,17,,,,79.4,,C
honey,,,refrigerated,288,0.0,0.0,0.0,,,light,85,17,,,,71.2,,C
eggs,,,room,0,0.0,0.0,0.0,small,dirty,,,,,,,100.0,,C
vegetables,,,room,0,0.0,0.0,0.0,small,,,,,cabbage,hard,green,34.0,100.0,A
honey,,,room,0,0.0,0.0,0.0,,,dark,80,20,,,,100.0,,C
milk,goat,evening,room,4,1.032,4.5,8.0,,,,,,,,,40.0,,C
eggs,,,room,2,0.0,0.0,0.0,large,clean,,,,,,,86.0,,C
fruits,,,room,2,0.0,0.0,0.0,small,,,,,pear,hard,red,1.0,80.0,A
honey,,,room,363,0.0,0.0,0.0,,,light,85,17,,,,63.699999999999996,,C
fruits,,,room,3,0.0,0.0,0.0,small,,,,,mango,medium,yellow,40.0,70.0,B
milk,buffalo,morning,refrigerated,7,1.04,6.5,9.0,,,,,,,,,0.0,,C
eggs,,,refrigerated,6,0.0,0.0,0.0,small,clean,,,,,,,58.0,,C
eggs,,,room,10,0.0,0.0,0.0,medium,dirty,,,,,,,30.0,,C
fruits,,,room,5,0.0,0.0,0.0,medium,,,,,papaya,hard,yellow,29.0,50.0,B
vegetables,,,room,4,0.0,0.0,0.0,small,,,,,cucumber,medium,red,19.0,60.0,B
milk,cow,evening,refrigerated,4,1.03,3.5,8.5,,,,,,,,,40.0,,C
eggs,,,refrigerated,14,0.0,0.0,0.0,medium,clean,,,,,,,2.0,,C
vegetables,,,room,1,0.0,0.0,0.0,large,,,,,tomato,hard,red,49.0,90.0,A
vegetables,,,room,1,0.0,0.0,0.0,medium,,,,,cauliflower,hard,green,48.0,90.0,A
milk,goat,morning,room,0,1.032,4.5,8.0,,,,,,,,,100.0,,C
eggs,,,refrigerated,1,0.0,0.0,0.0,large,dirty,,,,,,,93.0,,C
fruits,,,room,3,0.0,0.0,0.0,small,,,,,guava,soft,green,5.0,70.0,B
fruits,,,refrigerated,3,0.0,0.0,0.0,small,,,,,watermelon,medium,green,5.0,70.0,B
vegetables,,,room,1,0.0,0.0,0.0,medium,,,,,chilli,medium,red,34.0,90.0,A
eggs,,,room,0,0.0,0.0,0.0,medium,dirty,,,,,,,100.0,,C
vegetables,,,room,4,0.0,0.0,0.0,large,,,,,carrot,soft,red,12.0,60.0,B
eggs,,,room,5,0.0,0.0,0.0,small,dirty,,,,,,,65.0,,C
honey,,,refrigerated,51,0.0,0.0,0.0,,,dark,80,20,,,,94.9,,C
milk,goat,evening,room,6,1.032,4.5,8.0,,,,,,,,,10.0,,C
eggs,,,room,14,0.0,0.0,0.0,small,clean,,,,,,,2.0,,C
fruits,,,room,6,0.0,0.0,0.0,large,,,,,orange,soft,green,5.0,40.0,C
honey,,,refrigerated,316,0.0,0.0,0.0,,,dark,80,20,,,,68.4,,C
honey,,,room,363,0.0,0.0,0.0,,,dark,80,20,,,,63.699999999999996,,C
vegetables,,,refrigerated,6,0.0,0.0,0.0,small,,,,,beetroot,soft,red,38.0,40.0,C
eggs,,,room,4,0.0,0.0,0.0,small,dirty,,,,,,,72.0,,C
vegetables,,,refrigerated,7,0.0,0.0,0.0,large,,,,,radish,hard,green,42.0,30.0,C
vegetables,,,refrigerated,5,0.0,0.0,0.0,large,,,,,chilli,soft,red,8.0,50.0,B
fruits,,,refrigerated,6,0.0,0.0,0.0,small,,,,,pineapple,hard,green,10.0,40.0,C
fruits,,,room,5,0.0,0.0,0.0,small,,,,,banana,medium,yellow,11.0,50.0,B
honey,,,refrigerated,5,0.0,0.0,0.0,,,dark,80,20,,,,99.5,,C
vegetables,,,refrigerated,1,0.0,0.0,0.0,large,,,,,radish,soft,green,47.0,90.0,A
honey,,,room,297,0.0,0.0,0.0,,,dark,80,20,,,,70.3,,C
vegetables,,,room,6,0.0,0.0,0.0,small,,,,,carrot,hard,green,19.0,40.0,C
milk,cow,morning,refrigerated,6,1.03,3.5,8.5,,,,,,,,,10.0,,C
honey,,,room,130,0.0,0.0,0.0,,,dark,80,20,,,,87.0,,C
vegetables,,,room,5,0.0,0.0,0.0,small,,,,,spinach,hard,green,26.0,50.0,B
honey,,,room,307,0.0,0.0,0.0,,,light,85,17,,,,69.3,,C
honey,,,room,333,0.0,0.0,0.0,,,light,85,17,,,,66.69999999999999,,C
honey,,,room,179,0.0,0.0,0.0,,,light,85,17,,,,82.1,,C
honey,,,refrigerated,208,0.0,0.0,0.0,,,dark,80,20,,,,79.2,,C
eggs,,,room,8,0.0,0.0,0.0,small,dirty,,,,,,,44.0,,C
fruits,,,room,5,0.0,0.0,0.0,large,,,,,banana,hard,green,27.0,50.0,B
honey,,,refrigerated,75,0.0,0.0,0.0,,,dark,80,20,,,,92.5,,C
vegetables,,,refrigerated,5,0.0,0.0,0.0,small,,,,,potato,medium,yellow,4.0,50.0,B
honey,,,refrigerated,135,0.0,0.0,0.0,,,dark,80,20,,,,86.5,,C
fruits,,,room,6,0.0,0.0,0.0,medium,,,,,strawberry,soft,yellow,25.0,40.0,C
fruits,,,refrigerated,4,0.0,0.0,0.0,large,,,,,guava,soft,red,44.0,60.0,B
eggs,,,room,8,0.0,0.0,0.0,small,dirty,,,,,,,44.0,,C
honey,,,refrigerated,224,0.0,0.0,0.0,,,light,85,17,,,,77.6,,C
vegetables,,,refrigerated,7,0.0,0.0,0.0,medium,,,,,zucchini,soft,yellow,17.0,30.0,C
vegetables,,,room,0,0.0,0.0,0.0,small,,,,,cabbage,hard,red,7.0,100.0,A
eggs,,,room,9,0.0,0.0,0.0,small,dirty,,,,,,,37.0,,C
fruits,,,refrigerated,6,0.0,0.0,0.0,large,,,,,blueberry,hard,green,4.0,40.0,C
vegetables,,,refrigerated,3,0.0,0.0,0.0,small,,,,,pepper,medium,green,40.0,70.0,B
milk,cow,evening,room,4,1.03,3.5,8.5,,,,,,,,,40.0,,C
eggs,,,refrigerated,14,0.0,0.0,0.0,small,clean,,,,,,,2.0,,C
honey,,,room,87,0.0,0.0,0.0,,,dark,80,20,,,,91.3,,C
fruits,,,room,6,0.0,0.0,0.0,small,,,,,apple,medium,red,46.0,40.0,C
vegetables,,,room,1,0.0,0.0,0.0,small,,,,,cabbage,soft,green,50.0,90.0,A
milk,cow,morning,room,6,1.03,3.5,8.5,,,,,,,,,10.0,,C
milk,cow,evening,refrigerated,7,1.03,3.5,8.5,,,,,,,,,0.0,,C
milk,goat,evening,refrigerated,6,1.032,4.5,8.0,,,,,,,,,10.0,,C
honey,,,room,196,0.0,0.0,0.0,,,dark,80,20,,,,80.4,,C
vegetables,,,room,3,0.0,0.0,0.0,small,,,,,potato,soft,green,12.0,70.0,B
milk,buffalo,evening,refrigerated,2,1.04,6.5,9.0,,,,,,,,,70.0,,C
honey,,,refrigerated,82,0.0,0.0,0.0,,,dark,80,20,,,,91.8,,C
fruits,,,room,3,0.0,0.0,0.0,medium,,,,,guava,hard,yellow,3.0,70.0,B
honey,,,room,14,0.0,0.0,0.0,,,light,85,17,,,,98.6,,C
milk,goat,evening,refrigerated,6,1.032,4.5,8.0,,,,,,,,,10.0,,C
milk,buffalo,morning,refrigerated,5,1.04,6.5,9.0,,,,,,,,,25.0,,C
fruits,,,refrigerated,2,0.0,0.0,0.0,small,,,,,banana,soft,green,15.0,80.0,A
eggs,,,refrigerated,10,0.0,0.0,0.0,small,clean,,,,,,,30.0,,C
milk,cow,morning,room,3,1.03,3.5,8.5,,,,,,,,,55.0,,C
honey,,,refrigerated,28,0.0,0.0,0.0,,,dark,80,20,,,,97.2,,C
eggs,,,room,12,0.0,0.0,0.0,medium,dirty,,,,,,,16.0,,C
fruits,,,room,1,0.0,0.0,0.0,medium,,,,,papaya,hard,red,1.0,90.0,A
eggs,,,room,5,0.0,0.0,0.0,medium,dirty,,,,,,,65.0,,C
fruits,,,refrigerated,4,0.0,0.0,0.0,large,,,,,orange,hard,yellow,8.0,60.0,B
eggs,,,room,13,0.0,0.0,0.0,large,dirty,,,,,,,9.0,,C
eggs,,,room,6,0.0,0.0,0.0,large,dirty,,,,,,,58.0,,C
vegetables,,,refrigerated,6,0.0,0.0,0.0,large,,,,,beetroot,hard,green,35.0,40.0,C
fruits,,,room,6,0.0,0.0,0.0,small,,,,,guava,soft,yellow,47.0,40.0,C
honey,,,refrigerated,107,0.0,0.0,0.0,,,light,85,17,,,,89.3,,C
milk,buffalo,evening,refrigerated,7,1.04,6.5,9.0,,,,,,,,,0.0,,C
honey,,,refrigerated,48,0.0,0.0,0.0,,,light,85,17,,,,95.2,,C
honey,,,refrigerated,26,0.0,0.0,0.0,,,dark,80,20,,,,97.4,,C
milk,cow,evening,room,0,1.03,3.5,8.5,,,,,,,,,100.0,,C
eggs,,,refrigerated,14,0.0,0.0,0.0,medium,clean,,,,,,,2.0,,C
fruits,,,refrigerated,1,0.0,0.0,0.0,large,,,,,pear,medium,green,35.0,90.0,A
vegetables,,,refrigerated,5,0.0,0.0,0.0,large,,,,,tomato,medium,yellow,32.0,50.0,B
milk,cow,morning,refrigerated,5,1.03,3.5,8.5,,,,,,,,,25.0,,C
milk,cow,morning,room,7,1.03,3.5,8.5,,,,,,,,,0.0,,C
honey,,,room,178,0.0,0.0,0.0,,,light,85,17,,,,82.2,,C
milk,buffalo,evening,room,5,1.04,6.5,9.0,,,,,,,,,25.0,,C
eggs,,,refrigerated,6,0.0,0.0,0.0,small,clean,,,,,,,58.0,,C
eggs,,,refrigerated,2,0.0,0.0,0.0,large,clean,,,,,,,86.0,,C
milk,cow,morning,room,3,1.03,3.5,8.5,,,,,,,,,55.0,,C
fruits,,,room,4,0.0,0.0,0.0,large,,,,,papaya,hard,red,14.0,60.0,B
milk,goat,evening,room,6,1.032,4.5,8.0,,,,,,,,,10.0,,C
milk,buffalo,morning,refrigerated,2,1.04,6.5,9.0,,,,,,,,,70.0,,C
fruits,,,refrigerated,3,0.0,0.0,0.0,medium,,,,,strawberry,hard,yellow,46.0,70.0,B
milk,cow,evening,room,2,1.03,3.5,8.5,,,,,,,,,70.0,,C
fruits,,,refrigerated,6,0.0,0.0,0.0,small,,,,,guava,hard,yellow,5.0,40.0,C
milk,cow,morning,refrigerated,7,1.03,3.5,8.5,,,,,,,,,0.0,,C
milk,cow,morning,room,3,1.03,3.5,8.5,,,,,,,,,55.0,,C
honey,,,refrigerated,252,0.0,0.0,0.0,,,light,85,17,,,,74.8,,C
